,STATE,REMARKS,,Crop,Districts,Production,Languages
8580,ASSAM,Assam & Meghalaya,,Arhar/Tur,LAKHIMPUR,3,"""ASSAMESE"""
9500,ASSAM,Assam & Meghalaya,,Arhar/Tur,DARRANG,3,"""ASSAMESE"""
10180,ASSAM,Assam & Meghalaya,,Arhar/Tur,NALBARI,3,"""ASSAMESE"""
10500,ASSAM,Assam & Meghalaya,,Arhar/Tur,DHUBRI,3,"""ASSAMESE"""
10640,ASSAM,Assam & Meghalaya,,Arhar/Tur,UDALGURI,3,"""ASSAMESE"""
10800,ASSAM,Assam & Meghalaya,,Arhar/Tur,JORHAT,3,"""ASSAMESE"""
11160,ASSAM,Assam & Meghalaya,,Arhar/Tur,GOLAGHAT,3,"""ASSAMESE"""
12460,ASSAM,Assam & Meghalaya,,Arhar/Tur,HAILAKANDI,3,"""ASSAMESE"""
12620,ASSAM,Assam & Meghalaya,,Arhar/Tur,SIVASAGAR,3,"""ASSAMESE"""
13400,ASSAM,Assam & Meghalaya,,Arhar/Tur,NAGAON,3,"""ASSAMESE"""
,Azad Jammu & Kashmir,Azad Jammu & Kashmir,,Arhar/Tur,Sudhnutti,55,"""NA"""
,Azad Jammu & Kashmir,Azad Jammu & Kashmir,,Arhar/Tur,Bagh,55,"""NA"""
,Azad Jammu & Kashmir,Azad Jammu & Kashmir,,Arhar/Tur,Bhimber,55,"""NA"""
,Azad Jammu & Kashmir,Azad Jammu & Kashmir,,Arhar/Tur,Hattian,55,"""NA"""
,Azad Jammu & Kashmir,Azad Jammu & Kashmir,,Arhar/Tur,Haveli,55,"""NA"""
,Azad Jammu & Kashmir,Azad Jammu & Kashmir,,Arhar/Tur,Mirpur,55,"""NA"""
,Azad Jammu & Kashmir,Azad Jammu & Kashmir,,Arhar/Tur,Kotli,55,"""NA"""
,Azad Jammu & Kashmir,Azad Jammu & Kashmir,,Arhar/Tur,Muzaffarabad,55,"""NA"""
,Azad Jammu & Kashmir,Azad Jammu & Kashmir,,Arhar/Tur,Neelum,55,"""NA"""
,Azad Jammu & Kashmir,Azad Jammu & Kashmir,,Arhar/Tur,Poonch,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Killa Abdullah,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Sohbatpur,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Sherani,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Lehri,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Awaran,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Barkhan,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Chaghi,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Dera Bugti,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Kohlu,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Gwadar,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Harnai,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Jaffarabad,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Jhal Magsi,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Kachhi,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Kalat,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Kech,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Kharan,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Loralai,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Khuzdar,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Killa Saifullah,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Lasbela,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Mastung,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Musakhail,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Nasirabad,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Nushki,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Panjgur,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Pishin,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Quetta,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Sibi,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Washuk,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Zhob,55,"""NA"""
,Balochistan,Balochistan,,Arhar/Tur,Ziarat,55,"""NA"""
520,BIHAR,Bihar,,Arhar/Tur,MUNGER,4,"""MAGAHI"""
800,BIHAR,Bihar,,Arhar/Tur,SHEIKHPURA,4,"""MAGAHI"""
1940,BIHAR,Bihar,,Arhar/Tur,SUPAUL,4,"""MAITHILI"""
2280,BIHAR,Bihar,,Arhar/Tur,PATNA,4,"""MAGAHI"""
2860,BIHAR,Bihar,,Arhar/Tur,PASHCHIM CHAMPARAN,4,"""BHOJPURI"""
