,STATE,REMARKS,,Crop,Districts,Production,Languages
4860,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,ANANTNAG,12,"""NA"""
5060,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,BADGAM,12,"""NA"""
5400,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,UDHAMPUR,12,"""NA"""
5680,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,JAMMU,12,"""NA"""
5720,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,REASI,12,"""NA"""
5780,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,DODA,12,"""NA"""
7460,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,BANDIPORA,12,"""NA"""
7780,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,KUPWARA,12,"""NA"""
8160,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,SHOPIAN,12,"""NA"""
10400,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,KISHTWAR,12,"""NA"""
11740,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,POONCH,12,"""NA"""
12400,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,RAMBAN,12,"""NA"""
12920,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,RAJAURI,12,"""NA"""
13740,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,SRINAGAR,12,"""NA"""
1000,JHARKHAND,Jharkhand,,Arhar/Tur,CHATRA,13,"""MAGAHI"""
1540,JHARKHAND,Jharkhand,,Arhar/Tur,DUMKA,13,"""ANGIKA"""
2000,JHARKHAND,Jharkhand,,Arhar/Tur,JAMTARA,13,"""ANGIKA"""
2040,JHARKHAND,Jharkhand,,Arhar/Tur,SIMDEGA,13,"""SADANI"""
4200,JHARKHAND,Jharkhand,,Arhar/Tur,RAMGARH,13,"""ANGIKA"""
4480,JHARKHAND,Jharkhand,,Arhar/Tur,PAKUR,13,"""ANGIKA"""
4540,JHARKHAND,Jharkhand,,Arhar/Tur,KODERMA,13,"""MAGAHI"""
4600,JHARKHAND,Jharkhand,,Arhar/Tur,DEOGHAR,13,"""MAGAHI"""
4640,JHARKHAND,Jharkhand,,Arhar/Tur,SARAIKELA KHARSAWAN,13,"""SADANI"""
5740,JHARKHAND,Jharkhand,,Arhar/Tur,PALAMU,13,"""MAGAHI"""
6080,JHARKHAND,Jharkhand,,Arhar/Tur,HAZARIBAGH,13,"""MAGAHI"""
6220,JHARKHAND,Jharkhand,,Arhar/Tur,GARHWA,13,"""BHOJPURI"""
6480,JHARKHAND,Jharkhand,,Arhar/Tur,WEST SINGHBHUM,13,"""SADANI"""
7220,JHARKHAND,Jharkhand,,Arhar/Tur,GODDA,13,"""ANGIKA"""
7740,JHARKHAND,Jharkhand,,Arhar/Tur,LATEHAR,13,"""MAGAHI"""
8740,JHARKHAND,Jharkhand,,Arhar/Tur,LOHARDAGA,13,"""MAGAHI"""
9160,JHARKHAND,Jharkhand,,Arhar/Tur,GUMLA,13,"""SADANI"""
9240,JHARKHAND,Jharkhand,,Arhar/Tur,BOKARO,13,"""ANGIKA"""
9520,JHARKHAND,Jharkhand,,Arhar/Tur,EAST SINGHBUM,13,"""SADANI"""
11100,JHARKHAND,Jharkhand,,Arhar/Tur,RANCHI,13,"""SADANI"""
12560,JHARKHAND,Jharkhand,,Arhar/Tur,KHUNTI,13,"""SADANI"""
12640,JHARKHAND,Jharkhand,,Arhar/Tur,DHANBAD,13,"""ANGIKA"""
13380,JHARKHAND,Jharkhand,,Arhar/Tur,GIRIDIH,13,"""MAGAHI"""
13700,JHARKHAND,Jharkhand,,Arhar/Tur,SAHEBGANJ,13,"""ANGIKA"""
3900,KARNATAKA,Coastal Karnataka,,Arhar/Tur,UTTARA KANNADA,14,"""DRAVIDIAN"""
6660,KARNATAKA,Coastal Karnataka,,Arhar/Tur,UDUPI,14,"""DRAVIDIAN"""
13580,KARNATAKA,Coastal Karnataka,,Arhar/Tur,DAKSHINA KANNADA,14,"""DRAVIDIAN"""
140,KARNATAKA,North Interior Karnataka,,Arhar/Tur,VIJAYAPURA,14,"""DRAVIDIAN"""
320,KARNATAKA,North Interior Karnataka,,Arhar/Tur,BIDAR,14,"""DRAVIDIAN"""
1660,KARNATAKA,North Interior Karnataka,,Arhar/Tur,GADAG,14,"""DRAVIDIAN"""
2460,KARNATAKA,North Interior Karnataka,,Arhar/Tur,KALABURAGI,14,"""DRAVIDIAN"""
3580,KARNATAKA,North Interior Karnataka,,Arhar/Tur,KOPPAL,14,"""DRAVIDIAN"""
4080,KARNATAKA,North Interior Karnataka,,Arhar/Tur,YADAGIRI,14,"""DRAVIDIAN"""
4260,KARNATAKA,North Interior Karnataka,,Arhar/Tur,BALLARI,14,"""DRAVIDIAN"""
5760,KARNATAKA,North Interior Karnataka,,Arhar/Tur,RAICHUR,14,"""DRAVIDIAN"""
8260,KARNATAKA,North Interior Karnataka,,Arhar/Tur,BAGALKOTE,14,"""DRAVIDIAN"""
10260,KARNATAKA,North Interior Karnataka,,Arhar/Tur,DHARWAD,14,"""DRAVIDIAN"""
12900,KARNATAKA,North Interior Karnataka,,Arhar/Tur,BELAGAVI,14,"""DRAVIDIAN"""
13260,KARNATAKA,North Interior Karnataka,,Arhar/Tur,HAVERI,14,"""DRAVIDIAN"""
180,KARNATAKA,South Interior Karnataka,,Arhar/Tur,CHIKKABALLAPURA,14,"""DRAVIDIAN"""
1340,KARNATAKA,South Interior Karnataka,,Arhar/Tur,DAVANGERE,14,"""DRAVIDIAN"""
2540,KARNATAKA,South Interior Karnataka,,Arhar/Tur,RAMANAGARA,14,"""DRAVIDIAN"""
4140,KARNATAKA,South Interior Karnataka,,Arhar/Tur,BANGALORE RURAL,14,"""DRAVIDIAN"""
4400,KARNATAKA,South Interior Karnataka,,Arhar/Tur,MANDYA,14,"""DRAVIDIAN"""
4820,KARNATAKA,South Interior Karnataka,,Arhar/Tur,MYSURU,14,"""DRAVIDIAN"""
4980,KARNATAKA,South Interior Karnataka,,Arhar/Tur,CHITRADURGA,14,"""DRAVIDIAN"""
6860,KARNATAKA,South Interior Karnataka,,Arhar/Tur,CHAMARAJANAGARA,14,"""DRAVIDIAN"""
7440,KARNATAKA,South Interior Karnataka,,Arhar/Tur,HASSAN,14,"""DRAVIDIAN"""
7960,KARNATAKA,South Interior Karnataka,,Arhar/Tur,BENGALURU URBAN,14,"""DRAVIDIAN"""
9840,KARNATAKA,South Interior Karnataka,,Arhar/Tur,TUMAKURU,14,"""DRAVIDIAN"""
10140,KARNATAKA,South Interior Karnataka,,Arhar/Tur,CHIKKAMAGALURU,14,"""DRAVIDIAN"""
11520,KARNATAKA,South Interior Karnataka,,Arhar/Tur,KOLAR,14,"""DRAVIDIAN"""
11660,KARNATAKA,South Interior Karnataka,,Arhar/Tur,SHIVAMOGGA,14,"""DRAVIDIAN"""
13620,KARNATAKA,South Interior Karnataka,,Arhar/Tur,KODAGU,14,"""DRAVIDIAN"""
360,KERALA,Kerala,,Arhar/Tur,ALAPPUZHA,15,"""DRAVIDIAN"""
880,KERALA,Kerala,,Arhar/Tur,THIRUVANANTHAPURAM,15,"""DRAVIDIAN"""
1300,KERALA,Kerala,,Arhar/Tur,WAYANAD,15,"""DRAVIDIAN"""
1880,KERALA,Kerala,,Arhar/Tur,THRISSUR,15,"""DRAVIDIAN"""
3300,KERALA,Kerala,,Arhar/Tur,IDUKKI,15,"""DRAVIDIAN"""
3820,KERALA,Kerala,,Arhar/Tur,PALAKKAD,15,"""DRAVIDIAN"""
5100,KERALA,Kerala,,Arhar/Tur,KOLLAM,15,"""DRAVIDIAN"""
6160,KERALA,Kerala,,Arhar/Tur,KANNUR,15,"""DRAVIDIAN"""
6260,KERALA,Kerala,,Arhar/Tur,PATHANAMTHITTA,15,"""DRAVIDIAN"""
8220,KERALA,Kerala,,Arhar/Tur,KASARAGOD,15,"""DRAVIDIAN"""
8840,KERALA,Kerala,,Arhar/Tur,MALAPPURAM,15,"""DRAVIDIAN"""
9000,KERALA,Kerala,,Arhar/Tur,KOTTAYAM,15,"""DRAVIDIAN"""
9420,KERALA,Kerala,,Arhar/Tur,ERNAKULAM,15,"""DRAVIDIAN"""
12660,KERALA,Kerala,,Arhar/Tur,KOZHIKODE,15,"""DRAVIDIAN"""
13400,KHYBER PAKHTUNKHWA,KHYBER PAKHTUNKHWA,,Arhar/Tur,BANNU,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Hangu,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Charsadda,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Mardan,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Peshawar,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Abbottabad,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Batagram,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Nowshera,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Buner,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Chitral,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Dera Ismail Khan,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Haripur,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Karak,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Kohat,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Kohistan,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Lakki Marwat,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Lower Dir,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Malakand,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Mansehra,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Shangla,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Swabi,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Swat,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Tank,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Tor Ghar,52,"""NA"""
,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,,Arhar/Tur,Upper Dir,52,"""NA"""
420,LADAKH,,,Arhar/Tur,LEH LADAKH,16,"""NA"""
11680,LADAKH,,,Arhar/Tur,KARGIL,16,"""NA"""
1020,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,UMARIA,17,"""BAGHELI"""
1240,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,SHEOPUR,17,"""NA"""
1980,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,NARSINGHPUR,17,"""NA"""
2120,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,KATNI,17,"""BAGHELI"""
2180,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,NEEMUCH,17,"""NA"""
2580,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,BHIND,17,"""BUNDELI"""
2980,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,REWA,17,"""NA"""
3060,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,MANDLA,17,"""BAGHELI"""
3080,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,SHIVPURI,17,"""NA"""
3240,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,CHHATARPUR,17,"""NA"""
4060,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,SEONI,17,"""BAGHELI"""
5300,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,SEHORE,17,"""BUNDELI"""
5380,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,ANUPPUR,17,"""BAGHELI"""
5860,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,BALAGHAT,17,"""BAGHELI"""
6560,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,BETUL,17,"""NA"""
6720,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,GWALIOR,17,"""NA"""
7020,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,VIDISHA,17,"""BUNDELI"""
7160,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,ASHOKNAGAR,17,"""BUNDELI"""
7420,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,CHHINDWARA,17,"""BAGHELI"""
7800,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,MANDSAUR,17,"""NA"""
7900,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,JABALPUR,17,"""BAGHELI"""
7940,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,PANNA,17,"""NA"""
8020,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,SINGRAULI,17,"""BAGHELI"""
8440,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,SAGAR,17,"""NA"""
8900,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,TIKAMGARH,17,"""BUNDELI"""
8960,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,SATNA,17,"""NA"""
9780,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,DATIA,17,"""BUNDELI"""
9860,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,HOSHANGABAD,17,"""NA"""
10580,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,SHAHDOL,17,"""BAGHELI"""
11020,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,SIDHI,17,"""BAGHELI"""
11240,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,DAMOH,17,"""NA"""
11400,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,RAISEN,17,"""NA"""
11460,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,MORENA,17,"""NA"""
11700,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,DINDORI,17,"""BAGHELI"""
12240,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,BHOPAL,17,"""BUNDELI"""
13600,MADHYA PRADESH,East Madhya Pradesh,,Arhar/Tur,GUNA,17,"""NA"""
,MADHYA PRADESH,MADHYA PRADESH,,Arhar/Tur,NIWARI,17,"""BUNDELI"""
560,MADHYA PRADESH,West Madhya Pradesh,,Arhar/Tur,HARDA,17,"""NA"""
3000,MADHYA PRADESH,West Madhya Pradesh,,Arhar/Tur,SHAJAPUR,17,"""NA"""
5540,MADHYA PRADESH,West Madhya Pradesh,,Arhar/Tur,INDORE,17,"""MALVI"""
6100,MADHYA PRADESH,West Madhya Pradesh,,Arhar/Tur,DEWAS,17,"""MALVI"""
6400,MADHYA PRADESH,West Madhya Pradesh,,Arhar/Tur,DHAR,17,"""MALVI"""
7200,MADHYA PRADESH,West Madhya Pradesh,,Arhar/Tur,UJJAIN,17,"""NA"""
8040,MADHYA PRADESH,West Madhya Pradesh,,Arhar/Tur,BARWANI,17,"""NIMADI"""
8240,MADHYA PRADESH,West Madhya Pradesh,,Arhar/Tur,KHARGONE,17,"""NIMADI"""
9260,MADHYA PRADESH,West Madhya Pradesh,,Arhar/Tur,RAJGARH,17,"""NA"""
9940,MADHYA PRADESH,West Madhya Pradesh,,Arhar/Tur,JHABUA,17,"""MALVI"""
10980,MADHYA PRADESH,West Madhya Pradesh,,Arhar/Tur,KHANDWA,17,"""NIMADI"""
11980,MADHYA PRADESH,West Madhya Pradesh,,Arhar/Tur,BURHANPUR,17,"""NIMADI"""
12040,MADHYA PRADESH,West Madhya Pradesh,,Arhar/Tur,ALIRAJPUR,17,"""MALVI"""
12520,MADHYA PRADESH,West Madhya Pradesh,,Arhar/Tur,AGAR MALWA,17,"""NA"""
220,MAHARASHTRA,Konkan & Goa,,Arhar/Tur,PALGHAR,18,"""MARATHI"""
980,MAHARASHTRA,Konkan & Goa,,Arhar/Tur,RATNAGIRI,18,"""MARATHI"""
3440,MAHARASHTRA,Konkan & Goa,,Arhar/Tur,RAIGAD,18,"""MARATHI"""
10020,MAHARASHTRA,Konkan & Goa,,Arhar/Tur,SINDHUDURG,18,"""MARATHI"""
12680,MAHARASHTRA,Konkan & Goa,,Arhar/Tur,THANE,18,"""MARATHI"""
12860,MAHARASHTRA,Konkan & Goa,,Arhar/Tur,MUMBAI SUBURBAN,18,"""MARATHI"""
1680,MAHARASHTRA,Madhya Maharashtra,,Arhar/Tur,NASHIK,18,"""MARATHI"""
2520,MAHARASHTRA,Madhya Maharashtra,,Arhar/Tur,SATARA,18,"""MARATHI"""
3360,MAHARASHTRA,Madhya Maharashtra,,Arhar/Tur,DHULE,18,"""MARATHI"""
7240,MAHARASHTRA,Madhya Maharashtra,,Arhar/Tur,PUNE,18,"""MARATHI"""
9960,MAHARASHTRA,Madhya Maharashtra,,Arhar/Tur,JALGAON,18,"""MARATHI"""
10340,MAHARASHTRA,Madhya Maharashtra,,Arhar/Tur,KOLHAPUR,18,"""MARATHI"""
10460,MAHARASHTRA,Madhya Maharashtra,,Arhar/Tur,NANDURBAR,18,"""MARATHI"""
11860,MAHARASHTRA,Madhya Maharashtra,,Arhar/Tur,SANGLI,18,"""MARATHI"""
12320,MAHARASHTRA,Madhya Maharashtra,,Arhar/Tur,SOLAPUR,18,"""MARATHI"""
13340,MAHARASHTRA,Madhya Maharashtra,,Arhar/Tur,AHMEDNAGAR,18,"""MARATHI"""
20,MAHARASHTRA,Matathwada,,Arhar/Tur,NANDED,18,"""MARATHI"""
400,MAHARASHTRA,Matathwada,,Arhar/Tur,HINGOLI,18,"""MARATHI"""
1740,MAHARASHTRA,Matathwada,,Arhar/Tur,OSMANABAD,18,"""MARATHI"""
3280,MAHARASHTRA,Matathwada,,Arhar/Tur,AURANGABAD,18,"""MARATHI"""
6240,MAHARASHTRA,Matathwada,,Arhar/Tur,PARBHANI,18,"""MARATHI"""
6920,MAHARASHTRA,Matathwada,,Arhar/Tur,BEED,18,"""MARATHI"""
8660,MAHARASHTRA,Matathwada,,Arhar/Tur,JALNA,18,"""MARATHI"""
12300,MAHARASHTRA,Matathwada,,Arhar/Tur,LATUR,18,"""MARATHI"""
820,MAHARASHTRA,Vidarbha,,Arhar/Tur,CHANDRAPUR,18,"""MARATHI"""
2220,MAHARASHTRA,Vidarbha,,Arhar/Tur,GONDIA,18,"""MARATHI"""
2300,MAHARASHTRA,Vidarbha,,Arhar/Tur,WASHIM,18,"""MARATHI"""
4220,MAHARASHTRA,Vidarbha,,Arhar/Tur,GADCHIROLI,18,"""MARATHI"""
5220,MAHARASHTRA,Vidarbha,,Arhar/Tur,YAVATMAL,18,"""MARATHI"""
5320,MAHARASHTRA,Vidarbha,,Arhar/Tur,WARDHA,18,"""MARATHI"""
5700,MAHARASHTRA,Vidarbha,,Arhar/Tur,AMRAVATI,18,"""MARATHI"""
6960,MAHARASHTRA,Vidarbha,,Arhar/Tur,NAGPUR,18,"""MARATHI"""
8000,MAHARASHTRA,Vidarbha,,Arhar/Tur,AKOLA,18,"""MARATHI"""
10960,MAHARASHTRA,Vidarbha,,Arhar/Tur,BHANDARA,18,"""MARATHI"""
11040,MAHARASHTRA,Vidarbha,,Arhar/Tur,BULDHANA,18,"""MARATHI"""
,MANIPUR,MANIPUR,,Arhar/Tur,KANGPOKPI,19,"""NA"""
280,MANIPUR,Naga Mani Mizo Tripura,,Arhar/Tur,BISHNUPUR,19,"""NA"""
3640,MANIPUR,Naga Mani Mizo Tripura,,Arhar/Tur,SENAPATI,19,"""NA"""
4280,MANIPUR,Naga Mani Mizo Tripura,,Arhar/Tur,TAMENGLONG,19,"""NA"""
4460,MANIPUR,Naga Mani Mizo Tripura,,Arhar/Tur,IMPHAL EAST,19,"""NA"""
6140,MANIPUR,Naga Mani Mizo Tripura,,Arhar/Tur,CHANDEL,19,"""NA"""
9760,MANIPUR,Naga Mani Mizo Tripura,,Arhar/Tur,UKHRUL,19,"""NA"""
10160,MANIPUR,Naga Mani Mizo Tripura,,Arhar/Tur,IMPHAL WEST,19,"""NA"""
11340,MANIPUR,Naga Mani Mizo Tripura,,Arhar/Tur,CHURACHANDPUR,19,"""NA"""
11500,MANIPUR,Naga Mani Mizo Tripura,,Arhar/Tur,THOUBAL,19,"""NA"""
2360,MEGHALAYA,Assam & Meghalaya,,Arhar/Tur,RI BHOI,20,"""NA"""
5920,MEGHALAYA,Assam & Meghalaya,,Arhar/Tur,WEST JAINTIA HILLS,20,"""NA"""
7060,MEGHALAYA,Assam & Meghalaya,,Arhar/Tur,EAST KHASI HILLS,20,"""NA"""
7660,MEGHALAYA,Assam & Meghalaya,,Arhar/Tur,WEST GARO HILLS,20,"""NA"""
7680,MEGHALAYA,Assam & Meghalaya,,Arhar/Tur,EAST JAINTIA HILLS,20,"""NA"""
9820,MEGHALAYA,Assam & Meghalaya,,Arhar/Tur,SOUTH GARO HILLS,20,"""NA"""
10380,MEGHALAYA,Assam & Meghalaya,,Arhar/Tur,SOUTH WEST GARO HILLS,20,"""NA"""
10920,MEGHALAYA,Assam & Meghalaya,,Arhar/Tur,WEST KHASI HILLS,20,"""NA"""
13140,MEGHALAYA,Assam & Meghalaya,,Arhar/Tur,SOUTH WEST KHASI HILLS,20,"""NA"""
13660,MEGHALAYA,Assam & Meghalaya,,Arhar/Tur,NORTH GARO HILLS,20,"""NA"""
10900,MEGHALAYA,,,Arhar/Tur,EAST GARO HILLS,20,"""NA"""
380,MIZORAM,Naga Mani Mizo Tripura,,Arhar/Tur,AIZAWL,21,"""NA"""
840,MIZORAM,Naga Mani Mizo Tripura,,Arhar/Tur,KOLASIB,21,"""NA"""
2020,MIZORAM,Naga Mani Mizo Tripura,,Arhar/Tur,LUNGLEI,21,"""NA"""
4360,MIZORAM,Naga Mani Mizo Tripura,,Arhar/Tur,MAMIT,21,"""NA"""
5360,MIZORAM,Naga Mani Mizo Tripura,,Arhar/Tur,CHAMPHAI,21,"""NA"""
8640,MIZORAM,Naga Mani Mizo Tripura,,Arhar/Tur,LAWNGTLAI,21,"""NA"""
12260,MIZORAM,Naga Mani Mizo Tripura,,Arhar/Tur,SAIHA,21,"""NA"""
12500,MIZORAM,Naga Mani Mizo Tripura,,Arhar/Tur,SERCHHIP,21,"""NA"""
340,NAGALAND,Naga Mani Mizo Tripura,,Arhar/Tur,DIMAPUR,22,"""NA"""
500,NAGALAND,Naga Mani Mizo Tripura,,Arhar/Tur,PEREN,22,"""NA"""
860,NAGALAND,Naga Mani Mizo Tripura,,Arhar/Tur,PHEK,22,"""NA"""
1200,NAGALAND,Naga Mani Mizo Tripura,,Arhar/Tur,KIPHIRE,22,"""NA"""
5980,NAGALAND,Naga Mani Mizo Tripura,,Arhar/Tur,MON,22,"""NA"""
7280,NAGALAND,Naga Mani Mizo Tripura,,Arhar/Tur,MOKOKCHUNG,22,"""NA"""
7580,NAGALAND,Naga Mani Mizo Tripura,,Arhar/Tur,WOKHA,22,"""NA"""
8500,NAGALAND,Naga Mani Mizo Tripura,,Arhar/Tur,TUENSANG,22,"""NA"""
11560,NAGALAND,Naga Mani Mizo Tripura,,Arhar/Tur,ZUNHEBOTO,22,"""NA"""
12120,NAGALAND,Naga Mani Mizo Tripura,,Arhar/Tur,LONGLENG,22,"""NA"""
12180,NAGALAND,Naga Mani Mizo Tripura,,Arhar/Tur,KOHIMA,22,"""NA"""
760,ODISHA,Orissa,,Arhar/Tur,KALAHANDI,23,"""ORIYA"""
1640,ODISHA,Orissa,,Arhar/Tur,KENDUJHAR,23,"""ORIYA"""
1720,ODISHA,Orissa,,Arhar/Tur,BARGARH,23,"""ORIYA"""
4580,ODISHA,Orissa,,Arhar/Tur,SUNDARGARH,23,"""ORIYA"""
4900,ODISHA,Orissa,,Arhar/Tur,NUAPADA,23,"""ORIYA"""
5200,ODISHA,Orissa,,Arhar/Tur,BOUDH,23,"""ORIYA"""
5640,ODISHA,Orissa,,Arhar/Tur,JAGATSINGHAPUR,23,"""ORIYA"""
6040,ODISHA,Orissa,,Arhar/Tur,KORAPUT,23,"""ORIYA"""
6200,ODISHA,Orissa,,Arhar/Tur,MAYURBHANJ,23,"""ORIYA"""
6780,ODISHA,Orissa,,Arhar/Tur,KHORDHA,23,"""ORIYA"""
7120,ODISHA,Orissa,,Arhar/Tur,BALANGIR,23,"""ORIYA"""
7360,ODISHA,Orissa,,Arhar/Tur,ANUGUL,23,"""ORIYA"""
7620,ODISHA,Orissa,,Arhar/Tur,NABARANGPUR,23,"""ORIYA"""
9320,ODISHA,Orissa,,Arhar/Tur,RAYAGADA,23,"""DRAVIDIAN"""
9340,ODISHA,Orissa,,Arhar/Tur,BHADRAK,23,"""ORIYA"""
9580,ODISHA,Orissa,,Arhar/Tur,GAJAPATI,23,"""ORIYA"""
9700,ODISHA,Orissa,,Arhar/Tur,SAMBALPUR,23,"""ORIYA"""
9900,ODISHA,Orissa,,Arhar/Tur,KANDHAMAL,23,"""ORIYA"""
10200,ODISHA,Orissa,,Arhar/Tur,JHARSUGUDA,23,"""ORIYA"""
10700,ODISHA,Orissa,,Arhar/Tur,JAJAPUR,23,"""ORIYA"""
11320,ODISHA,Orissa,,Arhar/Tur,GANJAM,23,"""ORIYA"""
11380,ODISHA,Orissa,,Arhar/Tur,NAYAGARH,23,"""ORIYA"""
11620,ODISHA,Orissa,,Arhar/Tur,CUTTACK,23,"""ORIYA"""
11780,ODISHA,Orissa,,Arhar/Tur,SONEPUR,23,"""ORIYA"""
11940,ODISHA,Orissa,,Arhar/Tur,MALKANGIRI,23,"""ORIYA"""
12020,ODISHA,Orissa,,Arhar/Tur,PURI,23,"""ORIYA"""
12820,ODISHA,Orissa,,Arhar/Tur,DHENKANAL,23,"""ORIYA"""
13060,ODISHA,Orissa,,Arhar/Tur,DEOGARH,23,"""ORIYA"""
13080,ODISHA,Orissa,,Arhar/Tur,KENDRAPARA,23,"""ORIYA"""
13780,ODISHA,Orissa,,Arhar/Tur,BALESHWAR,23,"""ORIYA"""
3320,PUDUCHERRY,,,Arhar/Tur,PONDICHERRY,24,"""NA"""
9620,PUDUCHERRY,,,Arhar/Tur,KARAIKAL,24,"""NA"""
11060,PUDUCHERRY,,,Arhar/Tur,MAHE,24,"""NA"""
12600,PUDUCHERRY,,,Arhar/Tur,YANAM,24,"""NA"""
0,PUNJAB,Punjab,,Arhar/Tur,FAZILKA,5,"""PUNJABI"""
80,PUNJAB,Punjab,,Arhar/Tur,KAPURTHALA,5,"""PUNJABI"""
2440,PUNJAB,Punjab,,Arhar/Tur,BATHINDA,5,"""PUNJABI"""
2620,PUNJAB,Punjab,,Arhar/Tur,FARIDKOT,5,"""PUNJABI"""
3920,PUNJAB,Punjab,,Arhar/Tur,SANGRUR,5,"""PUNJABI"""
