Districts,Languages
LALITPUR,"""BUNDELI"""
MATHURA,"""MARWARI"""
HAMIRPURA,"""MARWARI"""
MUZAFFARNAGAR,"""MARWARI"""
MAHOBA,"""MARWARI"""
AYODHYA,"""MARWARI"""
SAHARANPUR,"""MARWARI"""
AMROHA,"""MARWARI"""
JALAUN,"""MARWARI"""
MORADABAD,"""MARWARI"""
SITAPUR,"""MARWARI"""
ALIGARH,"""MARWARI"""
HATHRAS,"""MARWARI"""
MEERUT,"""MARWARI"""
BULANDSHAHR,"""MARWARI"""
AMETHI,"""MARWARI"""
PILIBHIT,"""MARWARI"""
BIJNOR,"""MARWARI"""
HARDOI,"""MARWARI"""
RAE BARELI,"""MARWARI"""
GAUTAM BUDDHA NAGAR,"""MARWARI"""
FARRUKHABAD,"""MARWARI"""
FIROZABAD,"""MARWARI"""
BALRAMPURA,"""MARWARI"""
SHRAVASTI,"""MARWARI"""
HAPUR,"""MARWARI"""
KHERI,"""MARWARI"""
MAINPURI,"""MARWARI"""
SAMBHAL,"""MARWARI"""
KASGANJ,"""MARWARI"""
KANNAUJ,"""MARWARI"""
ETAH,"""MARWARI"""
DEHRADUN,"""MARWARI"""
PITHORAGARH,"""MARWARI"""
HARIDWAR,"""MARWARI"""
CHAMOLI,"""MARWARI"""
UDAM SINGH NAGAR,"""MARWARI"""
UTTAR KASHI,"""MARWARI"""
RUDRA PRAYAG,"""MARWARI"""
PAURI GARHWAL,"""MARWARI"""
CHAMPAWAT,"""MARWARI"""
ALMORA,"""MARWARI"""
NAINITAL,"""MARWARI"""
TEHRI GARHWAL,"""MARWARI"""
BAGESHWAR,"""MARWARI"""
NADIA,"""BENGALI"""
BIRBHUM,"""BENGALI"""
HOWRAH,"""BENGALI"""
DINAJPUR DAKSHIN,"""BENGALI"""
PURULIA,"""BENGALI"""
PASCHIM BARDHAMAN,"""BENGALI"""
MEDINIPUR EAST,"""BENGALI"""
BANKURA,"""BENGALI"""
JHARGRAM,"""BENGALI"""
MEDINIPUR WEST,"""BENGALI"""
MALDAH,"""BENGALI"""
PURBA BARDHAMAN,"""BENGALI"""
MURSHIDABAD,"""BENGALI"""
HOOGHLY,"""BENGALI"""
PARAGANAS NORTH,"""BENGALI"""
PARAGANAS SOUTH,"""BENGALI"""
COOCHBEHAR,"""BENGALI"""
DARJEELING,"""BENGALI"""
ALIPURDUAR,"""BENGALI"""
JALPAIGURI,"""BENGALI"""
KALIMPONG,"""BENGALI"""
DINAJPUR UTTAR,"""BENGALI"""
