Districts,Languages
DELHI_TOTAL,"""NA"""
FR Tank,"""NA"""
Orakzai Agency,"""NA"""
FR Peshawar,"""NA"""
FR DI Khan,"""NA"""
Khyber Agency,"""NA"""
Kurram Agency,"""NA"""
Mohmand Agency,"""NA"""
Bajaur Agency,"""NA"""
FR Bannu,"""NA"""
FR Kohat,"""NA"""
FR Lakki Marwat,"""NA"""
North Waziristan Agency,"""NA"""
South Waziristan Agency,"""NA"""
Astor,"""NA"""
Skardu,"""NA"""
Diamir,"""NA"""
Ghanchi,"""NA"""
Ghizer,"""NA"""
Gilgit,"""NA"""
Hunza Nagar,"""NA"""
NORTH GOA,"""NA"""
SOUTH GOA,"""NA"""
PATAN,"""GUJARATI"""
ARAVALLI,"""GUJARATI"""
BHARUCH,"""BHILI"""
SABAR KANTHA,"""GUJARATI"""
VADODARA,"""BHILI"""
MAHESANA,"""GUJARATI"""
PANCH MAHALS,"""BHILI"""
DANG,"""BHILI"""
ANAND,"""GUJARATI"""
NARMADA,"""BHILI"""
TAPI,"""BHILI"""
VALSAD,"""BHILI"""
MAHISAGAR,"""BHILI"""
KHEDA,"""GUJARATI"""
CHHOTAUDEPUR,"""BHILI"""
SURAT,"""BHILI"""
NAVSARI,"""BHILI"""
DOHAD,"""BHILI"""
GANDHINAGAR,"""GUJARATI"""
BANAS KANTHA,"""GUJARATI"""
AHMADABAD,"""GUJARATI"""
DEVBHUMI DWARKA,"""GUJARATI"""
BOTAD,"""GUJARATI"""
JUNAGADH,"""GUJARATI"""
SURENDRANAGAR,"""GUJARATI"""
BHAVNAGAR,"""GUJARATI"""
RAJKOT,"""GUJARATI"""
AMRELI,"""GUJARATI"""
JAMNAGAR,"""GUJARATI"""
GIR SOMNATH,"""GUJARATI"""
KACHCHH,"""KACHCHHI"""
MORBI,"""GUJARATI"""
PORBANDAR,"""GUJARATI"""
SONIPAT,"""HARYANVI"""
MAHENDRAGARH,"""HARYANVI"""
FARIDABAD,"""HARYANVI"""
KURUKSHETRA,"""HARYANVI"""
AMBALA,"""HARYANVI"""
PANCHKULA,"""HARYANVI"""
HISAR,"""HARYANVI"""
KARNAL,"""HARYANVI"""
JIND,"""HARYANVI"""
MEWAT,"""HARYANVI"""
GURGAON,"""HARYANVI"""
KAITHAL,"""HARYANVI"""
CHARKI DADRI,"""HARYANVI"""
JHAJJAR,"""HARYANVI"""
YAMUNANAGAR,"""HARYANVI"""
ROHTAK,"""HARYANVI"""
REWARI,"""HARYANVI"""
PANIPAT,"""HARYANVI"""
BHIWANI,"""HARYANVI"""
PALWAL,"""HARYANVI"""
FATEHABAD,"""HARYANVI"""
SIRSA,"""HARYANVI"""
SIRMAUR,"""NA"""
UNA,"""NA"""
SOLAN,"""NA"""
CHAMBA,"""NA"""
LAHUL AND SPITI,"""NA"""
KULLU,"""NA"""
KANGRA,"""NA"""
MANDI,"""NA"""
BILASPUR,"""NA"""
KINNAUR,"""NA"""
HAMIRPUR,"""NA"""
SHIMLA,"""NA"""
Islamabad,"""NA"""
GANDERBAL,"""NA"""
BARAMULLA,"""NA"""
KATHUA,"""NA"""
SAMBA,"""NA"""
KULGAM,"""NA"""
PULWAMA,"""NA"""
ANANTNAG,"""NA"""
BADGAM,"""NA"""
UDHAMPUR,"""NA"""
JAMMU,"""NA"""
REASI,"""NA"""
DODA,"""NA"""
BANDIPORA,"""NA"""
KUPWARA,"""NA"""
SHOPIAN,"""NA"""
KISHTWAR,"""NA"""
POONCH,"""NA"""
RAMBAN,"""NA"""
RAJAURI,"""NA"""
SRINAGAR,"""NA"""
CHATRA,"""MAGAHI"""
DUMKA,"""ANGIKA"""
JAMTARA,"""ANGIKA"""
SIMDEGA,"""SADANI"""
RAMGARH,"""ANGIKA"""
PAKUR,"""ANGIKA"""
KODERMA,"""MAGAHI"""
DEOGHAR,"""MAGAHI"""
SARAIKELA KHARSAWAN,"""SADANI"""
PALAMU,"""MAGAHI"""
HAZARIBAGH,"""MAGAHI"""
GARHWA,"""BHOJPURI"""
WEST SINGHBHUM,"""SADANI"""
GODDA,"""ANGIKA"""
LATEHAR,"""MAGAHI"""
LOHARDAGA,"""MAGAHI"""
GUMLA,"""SADANI"""
BOKARO,"""ANGIKA"""
EAST SINGHBUM,"""SADANI"""
RANCHI,"""SADANI"""
KHUNTI,"""SADANI"""
DHANBAD,"""ANGIKA"""
GIRIDIH,"""MAGAHI"""
SAHEBGANJ,"""ANGIKA"""
UTTARA KANNADA,"""DRAVIDIAN"""
UDUPI,"""DRAVIDIAN"""
DAKSHINA KANNADA,"""DRAVIDIAN"""
VIJAYAPURA,"""DRAVIDIAN"""
BIDAR,"""DRAVIDIAN"""
GADAG,"""DRAVIDIAN"""
KALABURAGI,"""DRAVIDIAN"""
KOPPAL,"""DRAVIDIAN"""
YADAGIRI,"""DRAVIDIAN"""
BALLARI,"""DRAVIDIAN"""
RAICHUR,"""DRAVIDIAN"""
BAGALKOTE,"""DRAVIDIAN"""
DHARWAD,"""DRAVIDIAN"""
BELAGAVI,"""DRAVIDIAN"""
HAVERI,"""DRAVIDIAN"""
CHIKKABALLAPURA,"""DRAVIDIAN"""
DAVANGERE,"""DRAVIDIAN"""
RAMANAGARA,"""DRAVIDIAN"""
BANGALORE RURAL,"""DRAVIDIAN"""
MANDYA,"""DRAVIDIAN"""
MYSURU,"""DRAVIDIAN"""
CHITRADURGA,"""DRAVIDIAN"""
CHAMARAJANAGARA,"""DRAVIDIAN"""
HASSAN,"""DRAVIDIAN"""
BENGALURU URBAN,"""DRAVIDIAN"""
TUMAKURU,"""DRAVIDIAN"""
CHIKKAMAGALURU,"""DRAVIDIAN"""
KOLAR,"""DRAVIDIAN"""
SHIVAMOGGA,"""DRAVIDIAN"""
KODAGU,"""DRAVIDIAN"""
ALAPPUZHA,"""DRAVIDIAN"""
THIRUVANANTHAPURAM,"""DRAVIDIAN"""
WAYANAD,"""DRAVIDIAN"""
THRISSUR,"""DRAVIDIAN"""
IDUKKI,"""DRAVIDIAN"""
PALAKKAD,"""DRAVIDIAN"""
KOLLAM,"""DRAVIDIAN"""
KANNUR,"""DRAVIDIAN"""
PATHANAMTHITTA,"""DRAVIDIAN"""
KASARAGOD,"""DRAVIDIAN"""
MALAPPURAM,"""DRAVIDIAN"""
KOTTAYAM,"""DRAVIDIAN"""
ERNAKULAM,"""DRAVIDIAN"""
KOZHIKODE,"""DRAVIDIAN"""
BANNU,"""NA"""
Hangu,"""NA"""
Charsadda,"""NA"""
Mardan,"""NA"""
Peshawar,"""NA"""
Abbottabad,"""NA"""
Batagram,"""NA"""
Nowshera,"""NA"""
Buner,"""NA"""
Chitral,"""NA"""
Dera Ismail Khan,"""NA"""
Haripur,"""NA"""
Karak,"""NA"""
Kohat,"""NA"""
Kohistan,"""NA"""
Lakki Marwat,"""NA"""
Lower Dir,"""NA"""
Malakand,"""NA"""
Mansehra,"""NA"""
Shangla,"""NA"""
Swabi,"""NA"""
Swat,"""NA"""
Tank,"""NA"""
Tor Ghar,"""NA"""
Upper Dir,"""NA"""
LEH LADAKH,"""NA"""
KARGIL,"""NA"""
UMARIA,"""BAGHELI"""
SHEOPUR,"""NA"""
NARSINGHPUR,"""NA"""
KATNI,"""BAGHELI"""
NEEMUCH,"""NA"""
BHIND,"""BUNDELI"""
REWA,"""NA"""
MANDLA,"""BAGHELI"""
SHIVPURI,"""NA"""
CHHATARPUR,"""NA"""
SEONI,"""BAGHELI"""
SEHORE,"""BUNDELI"""
ANUPPUR,"""BAGHELI"""
BALAGHAT,"""BAGHELI"""
BETUL,"""NA"""
GWALIOR,"""NA"""
VIDISHA,"""BUNDELI"""
ASHOKNAGAR,"""BUNDELI"""
CHHINDWARA,"""BAGHELI"""
MANDSAUR,"""NA"""
JABALPUR,"""BAGHELI"""
PANNA,"""NA"""
SINGRAULI,"""BAGHELI"""
SAGAR,"""NA"""
TIKAMGARH,"""BUNDELI"""
SATNA,"""NA"""
DATIA,"""BUNDELI"""
HOSHANGABAD,"""NA"""
SHAHDOL,"""BAGHELI"""
SIDHI,"""BAGHELI"""
DAMOH,"""NA"""
RAISEN,"""NA"""
MORENA,"""NA"""
DINDORI,"""BAGHELI"""
BHOPAL,"""BUNDELI"""
GUNA,"""NA"""
NIWARI,"""BUNDELI"""
HARDA,"""NA"""
SHAJAPUR,"""NA"""
INDORE,"""MALVI"""
DEWAS,"""MALVI"""
